OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AK,USGS Alaska Water Science Center,USGS-15242000,KASILOF R NR KASILOF AK,Stream,,19020301,738,sq mi,,,60.31747670000000,-151.2619378000000,63360,5,seconds,Interpolated from MAP.,NAD83,23.37,feet,.10,feet,Level or other surveyed method.,NGVD29,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15242100,CROOKED C NR KASILOF AK,Stream,,19020301,53.80,sq mi,,,60.29664316000000,-151.2744378000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15243500,SNOW R NR DIVIDE AK,Stream,,19020302,97.1,sq mi,,,60.30082390000000,-149.2382498000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,1050,feet,50,feet,Unknown.,NGVD29,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15243900,SNOW R NR SEWARD AK,Stream,,19020302,150,sq mi,,,60.29443950000000,-149.3460397000000,63360,10,seconds,Interpolated from MAP.,NAD83,459.7,feet,.1,feet,Survey-grade GPSF,NAVD88,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15243950,PORCUPINE C NR PRIMROSE AK,Stream,,19020302,15.5,sq mi,,,60.33943970000000,-149.3771538000000,63360,10,seconds,Interpolated from MAP.,NAD83,500,feet,50,feet,Unknown.,NGVD29,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15244000,PTARMIGAN C AT LAWING AK,Stream,,19020302,32.7,sq mi,,,60.40498650000000,-149.3646413000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,500,feet,50,feet,Unknown.,NGVD29,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15246000,GRANT C NR MOOSE PASS AK,Stream,,19020302,43.8,sq mi,,,60.45636310000000,-149.3562898000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,491,feet,1,feet,Unknown.,NGVD29,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15248000,TRAIL R NR LAWING AK,Stream,,19020302,184,sq mi,,,60.43303580000000,-149.3740777000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,460,feet,10,feet,Unknown.,NGVD29,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15250000,FALLS C NR LAWING AK,Stream,,19020302,11.5,sq mi,,,60.42998090000000,-149.3715784000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15251800,QUARTZ C AT GILPATRICKS AK,Stream,,19020302,8.8,sq mi,,,60.59525410000000,-149.5451977000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15252000,QUARTZ C NR GILPATRICKS AK,Stream,,19020302,30.00,sq mi,,,60.54943100000000,-149.6049338000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15253000,CRESCENT C NR MOOSE PASS AK,Stream,,19020302,21.6,sq mi,,,60.47858930000000,-149.5757544000000,,1,seconds,Interpolated from MAP.,NAD83,1452.5,feet,0.1,feet,Unknown.,NGVD29,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15254000,CRESCENT C NR COOPER LANDING AK,Stream,,19020302,31.7,sq mi,,,60.49636596000000,-149.6793680000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,550,feet,50,feet,Unknown.,NGVD29,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15258000,KENAI R AT COOPER LANDING AK,Stream,,19020302,643,sq mi,,,60.49219269000000,-149.8099203000000,63360,10,seconds,Interpolated from MAP.,NAD83,425.9,feet,.1,feet,Survey-grade GPSF,NAVD88,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15260000,COOPER C NR COOPER LANDING AK,Stream,,19020302,31.7,sq mi,,,60.43416667000000,-149.8238889000000,633360,3,seconds,Interpolated from MAP.,NAD83,1180,feet,25,feet,Interpolated from topographic map.,NAVD88,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15260001,COOPER C AT SIPHON OUTLET NR COOPER LANDING AK,Stream,,19020302,,,,,60.43441667000000,-149.8245278000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1180,feet,25,feet,Interpolated from topographic map.,NAVD88,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15260500,STETSON C NR COOPER LANDING AK,Stream,,19020302,8.7,sq mi,,,60.44108027000000,-149.8535310000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,1100,feet,50,feet,Unknown.,NGVD29,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15261000,COOPER C AT MOUTH NR COOPER LANDING AK,Stream,,19020302,16.8,sq mi,,,60.47997950000000,-149.8827110000000,63360,3,seconds,Interpolated from MAP.,NAD83,436.90,feet,.1,feet,Survey-grade GPSF,NAVD88,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15262000,KENAI R NR COOPER LANDING AK,Stream,,19020302,728.00,sq mi,,,60.48275289000000,-149.9188157000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15264000,RUSSIAN R NR COOPER LANDING AK,Stream,,19020302,53.9,sq mi,,,60.45218630000000,-149.9868558000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,500,feet,50,feet,Unknown.,NGVD29,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15266000,RUSSIAN R AT MOUTH NR COOPER LANDING AK,Stream,,19020302,71.00,sq mi,,,60.48551990000000,-149.9993559000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15266010,KENAI R BL RUSSIAN R NR COOPER LANDING AK,Stream,,19020302,829,sq mi,,,60.48468640000000,-150.0118558000000,63360,10,seconds,Interpolated from MAP.,NAD83,300.,feet,50,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15266020,KENAI R AT JIMS LANDING NR COOPER LANDING AK,Stream,,19020302,842,sq mi,,,60.48135550000000,-150.1121390000000,63360,10,seconds,Interpolated from MAP.,NAD83,300.,feet,50,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15266100,KENAI R AT SKILAK LK O NR STERLING AK,Stream,,19020302,,,,,60.46609900000000,-150.6022013000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15266110,KENAI R BL SKILAK LK OUTLET NR STERLING AK,Stream,,19020302,1250,sq mi,,,60.46609900000000,-150.6010900000000,63360,1,seconds,Interpolated from MAP.,NAD83,240,feet,25,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15266120,KILLEY R NR STERLING AK,Stream,,19020302,,,,,60.48137710000000,-150.6299810000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15266150,KENAI R BL MOUTH OF KILLEY R NR STERLING AK,Stream,,19020302,1500,sq mi,,,60.49054390000000,-150.6327592000000,63360,1,seconds,Interpolated from MAP.,NAD83,230,feet,25,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15266160,KENAI R NR STERLING AK,Stream,,19020302,,,,,60.51471029000000,-150.7008180000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15266180,MOOSE R AT STERLING AK,Stream,,19020302,,,,,60.53693240000000,-150.7555430000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15266210,FUNNY R NR SOLDOTNA AK,Stream,,19020302,,,,,60.48970847000000,-150.8605466000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15266290,SOLDOTNA C AT SOLDOTNA AK,Stream,,19020302,,,,,60.48831800000000,-151.0466668000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15266300,KENAI R AT SOLDOTNA AK,Stream,,19020302,2020,sq mi,,,60.47692890000000,-151.0816675000000,25000,10,seconds,Interpolated from MAP.,NAD83,40.40,feet,.01,feet,Survey-grade GPSF,NAVD88,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15266500,BEAVER C NR KENAI AK,Stream,,19020302,42.7,sq mi,,,60.56331890000000,-151.1197277000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,48,feet,1,feet,Unknown.,NGVD29,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15266895,BERNICE LK NR KENAI AK,"Lake, Reservoir, Impoundment",,19020302,,,,,60.69193770000000,-151.3655713000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15266900,BERNICE C NR KENAI AK,Stream,,19020302,,,,,60.69110420000000,-151.3827940000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15270000,MILLS C NR GILPATRICKS AK,Stream,,19020302,25.00,sq mi,,,60.66608750000000,-149.4188035000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15270100,FRESNO C NR SUNRISE AK,Stream,,19020302,6.1,sq mi,,,60.67025009000000,-149.4785269000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,1250,feet,50,feet,Unknown.,NGVD29,US,02,122,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601735151142201,SB00201105BCCC1  001,Well,,19020301,,,,,60.29247810000000,-151.2416602000000,25000,5,seconds,Interpolated from MAP.,NAD83,156.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,02,122,,Quaternary System,,19871108,58,ft,58,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601737151161801,SB00201201ADDC1  013,Well,,19020301,,,,,60.29303218000000,-151.2738822000000,25000,5,seconds,Interpolated from MAP.,NAD83,98.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,02,122,,Quaternary System,Unconfined single aquifer,19810731,32,ft,32,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601743151150201,SB00201106ACAC1  002,Well,,19020301,,,,,60.29470000000000,-151.2527713000000,25000,5,seconds,Interpolated from MAP.,NAD83,139.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,1986,55,ft,55,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601744151144201,SB00201106ADBD1  001,Well,,19020301,,,,,60.29497790000000,-151.2472157000000,63360,10,seconds,Interpolated from MAP.,NAD83,150.00,feet,25,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,19820921,51.0,ft,51.0,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601745151162301,SB00201201AADC1  002,Well,,19020301,,,,,60.29525427000000,-151.2752710000000,63360,10,seconds,Interpolated from MAP.,NAD83,97.00,feet,1,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,19730614,22.5,ft,26.5,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601745151162302,SB00201201AADC2  002,Well,,19020301,,,,,60.29525427000000,-151.2752710000000,63360,10,seconds,Interpolated from MAP.,NAD83,95.00,feet,1,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,19730613,10.0,ft,21.5,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601747151161301,SB00201201AADA1  003,Well,,19020301,,,,,60.29581000000000,-151.2724933000000,63360,10,seconds,Interpolated from MAP.,NAD83,95.00,feet,1,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,19730612,29.7,ft,31.5,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601747151162301,SB00201201AADB1  001,Well,,19020301,,,,,60.29580980000000,-151.2752710000000,63360,10,seconds,Interpolated from MAP.,NAD83,95.00,feet,1,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,19730601,19.0,ft,19.0,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601747151162302,SB00201201AADB2  001,Well,,19020301,,,,,60.29580980000000,-151.2752710000000,63360,10,seconds,Interpolated from MAP.,NAD83,95.00,feet,1,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,19730619,19.8,ft,20.0,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601747151162303,SB00201201AADB3  001,Well,,19020301,,,,,60.29580980000000,-151.2752710000000,63360,10,seconds,Interpolated from MAP.,NAD83,96.00,feet,1,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,19730620,19.0,ft,25.0,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601747151162304,SB00201201AADB4  001,Well,,19020301,,,,,60.29580980000000,-151.2752710000000,63360,10,seconds,Interpolated from MAP.,NAD83,94.00,feet,1,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,19730612,19.7,ft,56.0,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601747151162305,SB00201201AADB5  001,Well,,19020301,,,,,60.29580980000000,-151.2752710000000,63360,10,seconds,Interpolated from MAP.,NAD83,95.00,feet,1,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,19730619,20.0,ft,36.5,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601747151162306,SB00201201AADB6  001,Well,,19020301,,,,,60.29580980000000,-151.2752710000000,63360,10,seconds,Interpolated from MAP.,NAD83,93.00,feet,1,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,19730712,10.5,ft,10.5,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601747151162307,SB00201201AADB7  001,Well,,19020301,,,,,60.29580980000000,-151.2752710000000,63360,10,seconds,Interpolated from MAP.,NAD83,93.00,feet,1,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,19730712,45.0,ft,45.0,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601747151162308,SB00201201AADB8  001,Well,,19020301,,,,,60.29580980000000,-151.2752710000000,63360,10,seconds,Interpolated from MAP.,NAD83,,,,,,,US,02,122,,,,19730612,15.0,ft,22.0,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601747151162309,SB00201201AADB9  001,Well,,19020301,,,,,60.29580980000000,-151.2752710000000,63360,10,seconds,Interpolated from MAP.,NAD83,90.00,feet,1,feet,Interpolated from topographic map.,NGVD29,US,02,122,,,,19730712,18.5,ft,26.5,ft,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-601751151164501,SB00201201ABDB1  008,Well,,19020301,,,,,60.29692050000000,-151.2813820000000,25000,5,seconds,Interpolated from MAP.,NAD83,107.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,02,122,,Bedrock,,19860817,100,ft,100,ft,NWIS
