"site","date","waterbody_type","hardness_mgL_1","hardness_mgL_2","copper_ugL_1","copper_ugL_2","copper_ccc_ugL_1","copper_ccc_ugL_2","zinc_ugL_1","zinc_ugL_2","zinc_ccc_ugL_1","zinc_ccc_ugL_2","cu_rdl","zn_rdl","Habitat","Site_1","Lat","Long","BM_Notes","Other_Notes","Site_ID"
"Lower_No_Name_Creek",2019-04-30,"Tributary",32.59,NA,0.668,NA,4.4,NA,21.3,NA,39.92,NA,"","","Tributary","Lower No Name Creek",60.550888,-151.268417,"Coordinates from Guerron Orejuela 2015 KWF report",NA,6
"Lower_No_Name_Creek",2019-07-30,"Tributary",51.22,50.85,0.451,3.04,6.48,6.44,5.53,5.31,58.56,58.2,"148.32 %","4.06 %","Tributary","Lower No Name Creek",60.550888,-151.268417,"Coordinates from Guerron Orejuela 2015 KWF report",NA,6
"Lower_No_Name_Creek",2020-07-21,"Tributary",49.86,1579.89,0.5,1.79,6.33,121.31,5,3.75,57.24,1069.95,"112.66 %","28.57 %","Tributary","Lower No Name Creek",60.550888,-151.268417,"Coordinates from Guerron Orejuela 2015 KWF report",NA,6
"Upper_No_Name_Creek",2019-05-22,"Tributary",32.58547,NA,0.53,3.27,4.40078491869142,NA,98.1,159,39.9166826118958,NA,"144.21 %","47.37 %","Tributary","Upper No Name Creek",60.577846,-151.268588,"Coordinates provided by MH",NA,16
"Upper_No_Name_Creek",2019-07-24,"Tributary",50.84966,NA,0.39,0.61,6.43686330268534,NA,5.12,5.77,58.1978689484972,NA,"44.00 %","11.94 %","Tributary","Upper No Name Creek",60.577846,-151.268588,"Coordinates provided by MH",NA,16
"Upper_No_Name_Creek",2020-05-20,"Tributary",15.58,15.33,0.606,0.497,2.34,2.31,10.9,7.05,21.36,21.07,"19.76 %","42.90 %","Tributary","Upper No Name Creek",60.577846,-151.268588,"Coordinates provided by MH",NA,16
"Upper_No_Name_Creek",2020-07-22,"Tributary",82.32,NA,1.04,NA,9.71,NA,3.46,NA,87.53,NA,"","","Tributary","Upper No Name Creek",60.577846,-151.268588,"Coordinates provided by MH",NA,16
"Lower_Beaver_Creek",2019-04-30,"Tributary",43.06,NA,3.91,NA,5.58,NA,84.1,NA,50.55,NA,"","","Tributary","Lower Beaver Creek",60.548029,-151.14324,"Coords estimated by B Meyer from Fig. 1 in 2019 report and Google Earth",NA,4
"Lower_Beaver_Creek",2019-07-30,"Tributary",73.65,NA,1.77,NA,8.83,NA,69.9,NA,79.66,NA,"","","Tributary","Lower Beaver Creek",60.548029,-151.14324,"Coords estimated by B Meyer from Fig. 1 in 2019 report and Google Earth",NA,4
"Lower_Beaver_Creek",2020-07-21,"Tributary",63.36,NA,0.509,NA,7.77,NA,3.27,NA,70.12,NA,"","","Tributary","Lower Beaver Creek",60.548029,-151.14324,"Coords estimated by B Meyer from Fig. 1 in 2019 report and Google Earth",NA,4
"Upper_Beaver_Creek",2019-05-22,"Tributary",43.06498,NA,0.5,NA,5.58483460675976,NA,77.8,NA,50.5548343243455,NA,"","","Tributary","Upper Beaver Creek",60.641201,-151.084718,"Coordinates provided by MH",NA,15
"Upper_Beaver_Creek",2019-07-24,"Tributary",73.65497,NA,1.07,NA,8.83436426223786,NA,64.4,NA,79.6616903358865,NA,"","","Tributary","Upper Beaver Creek",60.641201,-151.084718,"Coordinates provided by MH",NA,15
"Upper_Beaver_Creek",2020-05-20,"Tributary",15.7,15.87,0.5,0.5,2.36,2.38,5,5,21.5,21.7,"0.00 %","0.00 %","Tributary","Upper Beaver Creek",60.641201,-151.084718,"Coordinates provided by MH",NA,15
"Upper_Beaver_Creek",2020-07-22,"Tributary",56.16,55.17,0.5,0.5,7.01,6.9,5,5,63.31,62.36,"0.00 %","0.00 %","Tributary","Upper Beaver Creek",60.641201,-151.084718,"Coordinates provided by MH",NA,15
