RM,Site,Date,Parameter,RDL(%),>20%,,
Trib,Lower_No_Name_Creek,7/30/2019,Copper,148.32%,Y,,
Trib,Lower_No_Name_Creek,7/21/2020,Copper,112.66%,Y,,
1.5,City_of_Kenai_Docks,4/30/2019,Copper,38.85%,Y,, 
19,Lower_Slikok_Creek,4/30/2019,Copper,44.12%,Y,,
19,Slikok_Creek_Kenai_River_Confluence,5/20/2020,Copper,3.95%,,,
19,Slikok_Creek_Kenai_River_Confluence,7/22/2020,Copper,2.96%,,,
50,Skilak_Lake_Outlet,5/20/2020,Copper,4.19%,,,
70,Jims_Landing,5/20/2020,Copper,5.44%,,,
Trib,Upper_No_Name_Creek,5/22/2019,Copper,144.21%,Y,,
Trib,Upper_No_Name_Creek,7/24/2019,Copper,44.00%,Y,,
Trib,Upper_Beaver_Creek,5/20/2020,Copper,0.00%,,,
Trib,Upper_No_Name_Creek,5/20/2020,Copper,19.76%,,,
Trib,Upper_Slikok_Creek,5/20/2020,Copper,14.82%,,,
Trib,Upper_Soldotna_Creek,5/20/2020,Copper,0.00%,,,
Trib,Upper_Beaver_Creek,7/22/2020,Copper,0.00%,,,
Trib,Lower_No_Name_Creek,7/30/2019,Zinc,4.06%,,,
Trib,Lower_No_Name_Creek,7/21/2020,Zinc,28.57%,Y,,
1.5,City_of_Kenai_Docks,4/30/2019,Zinc,20.11%,Y,,
19,Lower_Slikok_Creek,4/30/2019,Zinc,174.81%,Y,,
19,Slikok_Creek_Kenai_River_Confluence,5/20/2020,Zinc,0.00%,,,
19,Slikok_Creek_Kenai_River_Confluence,7/22/2020,Zinc,0.00%,,,
50,Skilak_Lake_Outlet,5/20/2020,Zinc,37.81%,,,
70,Jims_Landing,5/20/2020,Zinc,0.00%,,,
Trib,Upper_No_Name_Creek,5/22/2019,Zinc,47.37%,,,
Trib,Upper_No_Name_Creek,7/24/2019,Zinc,11.94%,,,
Trib,Upper_Beaver_Creek,5/20/2020,Zinc,0.00%,,,
Trib,Upper_No_Name_Creek,5/20/2020,Zinc,42.90%,Y,,
Trib,Upper_Slikok_Creek,5/20/2020,Zinc,153.97%,Y,,
Trib,Upper_Soldotna_Creek,5/20/2020,Zinc,0.00%,,,
Trib,Upper_Beaver_Creek,7/22/2020,Zinc,0.00%,,,
