epa_site_names,kwf_site_names,river_mile
No_Name_Creek,RM 0 - No Name Creek,0
Kenai_Lake_Bridge,RM 82 - Kenai Lake Bridge,82
Poachers_Cove,RM 18 - Poachers Cove,18
Russian_River,RM 74 - Russian River,74
Pillars,RM 12.5 - Pillars,12.5
Soldotna_Creek,RM 22 - Soldotna Creek,22
Moose_River,RM 36 - Moose River,36
Jims_Landing,RM 70 - Jims Landing,70
Kenai_River_near_Beaver_creek,RM 10.1 - Kenai River,10.1
City_of_Kenai_Docks,RM 1.5 - Kenai Docks,1.5
Killey_River,RM 44 - Mouth of Killey River,44
Morgans_Landing,RM 31 - Morgans Landing,31
Skilak_Lake_Outlet,RM 50 - Skilak Lake Outflow,50
Upstream_Dow_Island,RM 43 - US Dow Island,43
Swiftwater_Park,RM 23 - Swiftwater Park,23
Soldotna_Bridge,RM 21 - Soldotna Bridge,21
Bings_Landing,RM 40 - Bing's Landing,40
Slikok_Creek,RM 19 - Slikok Creek,19
Funny_River,RM 30 - Funny River,30
Cunningham_Park,RM 6.5 - Cunningham Park,6.5
Beaver_Creek,RM 10 - Beaver Creek,10
Juneau_Creek,RM 79.5 - Juneau Creek,79.5
